Rank,Name,Keywords,Corr,pvalue,Signedcorrvalue,ID
654,MF_FitSubsegments_arsbc_rand_25_01_orders_min,"model,prediction,arfit",0.408,2.8709869087413976e-41,0.408,6944
655,NL_TISEAN_fnn_1_10_005_nHood2_9,"nonlinear,dimension,tisean",0.408,1.9172635599226705e-40,-0.408,4819
656,DN_SimpleFit_gauss2_AC1_hsqrt,"distribution,gof,gauss2",0.408,3.947851823943054e-41,0.408,3215
657,FC_Surprise_T2_100_5_udq_500_max,"information,symbolic",0.408,1.9756746832782418e-41,0.408,2493
658,FC_Surprise_T1_100_4_udq_500_min,"information,symbolic",0.408,3.256454091085084e-41,-0.408,2452
659,MF_StateSpace_n4sid_1_05_1_ftbth,model,0.407,3.235112940646375e-41,0.407,7103
660,NL_MS_nlpe_fnn_mi_ac2n,"nonlinear,prediction,model,slow",0.407,7.799386183532589e-41,0.407,6729
661,CO_AddNoise_1_even_10_fitexprmse,"correlation,AMI,entropy",0.407,4.0200568985713065e-41,-0.407,1198
662,SY_SlidingWindow_ac1_ent2_10,stationarity,0.407,3.314722896689759e-41,-0.407,736
663,MF_armax_3_1_05_1_ftbth,model,0.406,6.412950231985568e-41,0.406,7253
664,ST_LocalExtrema_n100_meanmax,"distribution,stationarity",0.406,5.954260852085315e-41,0.406,3463
665,SY_SlidingWindow_lil_ent2_2,stationarity,0.406,5.600963347638757e-41,0.406,712
666,MF_armax_2_2_05_1_acmnd0,model,0.405,9.647029245513462e-41,0.405,7316
667,MF_armax_1_1_05_1_propbth,model,0.404,1.3563373055786753e-40,-0.404,7284
668,MF_armax_3_1_05_1_acmnd0,model,0.404,1.408769332769851e-40,0.404,7250
669,NL_MS_nlpe_fnn_mi_ac1n,"nonlinear,prediction,model,slow",0.404,3.4497529550411015e-40,0.404,6728
670,SP_Summaries_pgram_hamm_maxS,FourierSpectrum,0.404,1.2386966093861855e-40,0.404,4319
671,SC_FluctAnal_2_rsrange_50_logi_resac1,scaling,0.404,1.7807770830047291e-40,0.404,4070
672,DN_OutlierInclude_abs_001_stdrflb,"distribution,outliers",0.404,1.4804910672140353e-40,0.404,3306
673,SY_SlidingWindow_ac1_s2_10,stationarity,0.404,1.5826198694919933e-40,-0.404,722
674,MF_CompareTestSets_y_ss_2_uniform_25_01_1_mabserr_std,"model,prediction,stationarity",0.403,3.075942825873046e-40,-0.403,7056
675,MF_FitSubsegments_arsbc_uniform_25_01_orders_min,"model,prediction,arfit",0.403,2.9888867617415945e-40,0.403,6933
676,SP_Summaries_pgram_hamm_fpoly2csS_p3,FourierSpectrum,0.403,2.926248398563544e-40,0.403,4366
677,DN_OutlierInclude_p_001_stdrfexprmse,"distribution,outliers",0.403,2.3659893978647577e-40,0.403,3335
678,MF_ExpSmoothing_05_best_ftbth,model,0.402,3.942661092622262e-40,0.402,7356
